Name #1,Name #2,Event,Type,Year,Channel,Uploaded,URL,ID,Views
LARA SOFT,FROZEN,ON BEAT BATTLE,On Beat,2024,FOB,2024-5-9,https://www.youtube.com/watch?v=hcwjr_srOXM,hcwjr_srOXM,0
David Ardor,Jilly,Battle,Accapella,2024,DUDL,2024-5-5,https://www.youtube.com/watch?v=BxFo9Cnh4GI,BxFo9Cnh4GI,2359
CSN GALACTICO,SIC68,ACAPELLA BATTLE,Accapella,2024,FOB,2024-5-3,https://www.youtube.com/watch?v=cUb4Sq_nyLo,cUb4Sq_nyLo,5805
Zeptah,Tokz,  Berlin,On Beat,2024,DLTLLY,2024-4-7,https://www.youtube.com/watch?v=sGN8Hll0T3M,sGN8Hll0T3M,9892
Yarambo,Karanova,  Kassel,Accapella,2024,DLTLLY,2024-4-7,https://www.youtube.com/watch?v=JWaIWpR7cuA,JWaIWpR7cuA,57108
Tobi High,Meidi,  Kassel,Accapella,2024,DLTLLY,2024-4-7,https://www.youtube.com/watch?v=SJ4P0J0u3o0,SJ4P0J0u3o0,64523
Aladin,Shorteh Taunton,  Berlin,On Beat,2024,DLTLLY,2024-4-5,https://www.youtube.com/watch?v=yf72pQ4T_ak,yf72pQ4T_ak,7211
Tobi High,Papa TR,  Berlin,On Beat,2024,DLTLLY,2024-4-28,https://www.youtube.com/watch?v=F5E_sF7XD7I,F5E_sF7XD7I,24064
Notyzze,Tommy2Late,  Berlin,On Beat,2024,DLTLLY,2024-4-28,https://www.youtube.com/watch?v=DDBzGJrY2Ds,DDBzGJrY2Ds,16836
HEYZEN,TOKZ,ON BEAT + ACAPELLA BATTLE,On Beat,2024,FOB,2024-4-25,https://www.youtube.com/watch?v=QboOw6vfu5Q,QboOw6vfu5Q,4436
TOLLSCHOCK,MALIK,ACAPELLA BATTLE,Accapella,2024,FOB,2024-4-21,https://www.youtube.com/watch?v=zH1kJVuX8QU,zH1kJVuX8QU,5100
