Name #1,Name #2,Event,Type,Date (Year)
Ssynic,Craze,Rap Battle @ B-Day #10,Rap Battle,Unknown
Yarambo,JollyJay,Rap Battle @ B-Day #10,Rap Battle,Unknown
Kato,Bong Teggy,Rap Battle @ B-Day #10,Rap Battle,Unknown
Karanova,Mc Geuner,Rap Battle @ B-Day #10,Rap Battle,Unknown
Mighty P,Karma,Rap Battle @ B-Day #10,Rap Battle,Unknown
Lyrico,Tobi High,On Beat Rap Battle @ splash! 25,On Beat,Unknown
Lyrico,Tobi High,On Beat Rap Battle @ splash! 25,On Beat,Unknown
Pablo,Mordrake,On Beat Rap Battle @ splash! 25,On Beat,Unknown
Cris Kotzen & Escape,Vyrus & Freezy,2on2 On Beat Rap Battle @ splash! 25,On Beat,Unknown
Cris Kotzen & Escape,Vyrus & Freezy,2on2 On Beat Rap Battle @ splash! 25,On Beat,Unknown
Kid Soldier,Krom,On Beat Rap Battle @ splash! 25,On Beat,Unknown
N'antinein,Bahamakarma,On Beat Rap Battle @ splash! 25,On Beat,Unknown
N'antinein,Bahamakarma,On Beat Rap Battle @ splash! 25,On Beat,Unknown
Shizu,Mave,Rap Battle @ splash! 25,Rap Battle,Unknown
Shizu,Mave,Rap Battle @ splash! 25,Rap Battle,Unknown
Wolff,Requiem,Rap Battle @ München,Rap Battle,Unknown
Mc Geuner,Snakeheadrhyme,Rap Battle @ München,Rap Battle,Unknown
Tobi High,Yarambo,Rap Battle @ München,Rap Battle,Unknown
Joseph Steinschleuder,Shizu,Rap Battle @ München,Rap Battle,Unknown
T-Way,Julo,Rap Battle @ München,Rap Battle,Unknown
Kato,Meidi,Rap Battle @ MAYhem #6,Rap Battle,Unknown
Craze,Karanova,Rap Battle @ MAYhem #6,Rap Battle,Unknown
Zeuge,Joseph Steinschleuder,MAYhem #6,Rap Battle,Unknown
Mavgic,Bong Teggy,🏆 On Beat Titlematch 🏆,On Beat,Unknown
Tokz,Tisos,On Beat Match,On Beat,Unknown
Tokz,Tisos,On Beat Match,On Beat,Unknown
Rolling G,Jeystone,Proving Grounds @ Berlin,Rap Battle,Unknown
MC Janosch,Quasi Infamous,Proving Grounds @ Berlin,Rap Battle,Unknown
Bronko Banano,Young Kennedy,Proving Grounds @ Berlin,Rap Battle,Unknown
Valik,Davis,Proving Grounds @ Berlin,Rap Battle,Unknown
Mordrake,Faivel,Proving Grounds @ Wiesbaden,Rap Battle,Unknown
Holu & Freekno,Joseph Steinschleuder & Triple Beat,2on2,Rap Battle,Unknown
Gerro,Bilal,Rapbattle @ Kassel,Rap Battle,Unknown
Mars B.,JollyJay,Kassel,Rap Battle,Unknown
Duff,B-Dad,Kassel,Rap Battle,Unknown
Papi Schlauch,Craze,Rapbattle @ Stellwerk Hamburg,Rap Battle,Unknown
Joseph Steinschleuder,Hiding John,Rapbattle @ Stellwerk Hamburg,Rap Battle,Unknown
Mazzikaner,Requiem,Proving Grounds Rapbattle @ Panke Berlin,Rap Battle,Unknown
Aytee,Galv,On Beat Rapbattle Berlin @ 9th Birthday,On Beat,Unknown
Mavgic,Notyzze,On-Beat Rapbattle @Splash! Festival,On Beat,Unknown
Krom,Craze,On-Beat Rapbattle @Splash! Festival,On Beat,Unknown
Bong Teggy,Davie Jones,On-Beat Rapbattle @Splash! Festival,On Beat,Unknown
T-Way,Tobi High,On-Beat Rapbattle @Splash! Festival,On Beat,Unknown
Mars B.,Neilz,Backstage München,Rap Battle,Unknown
Phasenkind,Vyrus,On Beat Battle,On Beat,Unknown
Phasenkind,Vyrus,On Beat Battle,On Beat,Unknown
Shizu,Tao,Backstage München,Rap Battle,Unknown
MIKESH,SSYNIC,MAYhem #5,Rap Battle,Unknown
Robscure,Falki,MAYhem 5 Festsaal Kreuzberg,Rap Battle,Unknown
Hiding John,Julo,Spektakulum Düsseldorf Rapbattle,Rap Battle,Unknown
Deytona,Maka,Spektakulum Düsseldorf Rapbattle,Rap Battle,Unknown
Craze,ZinZity,NRWeekend 5,Rap Battle,Unknown
Mc Geuner,Phasenkind,NRWeekend 5,Rap Battle,Unknown
Khacoby,DeeLah,NRWeekend 5,Rap Battle,Unknown
Maka,Heinz87,NRWeekend 5,Rap Battle,Unknown
Joseph Steinschleuder,Steel,On Beat Rapbattle Düsseldorf,On Beat,Unknown
Niza,Devasberg,NRWeekend 5,Rap Battle,Unknown
Dizzepticon,Koozy,NRWeekend 5,On Beat,Unknown
Dizzepticon,Koozy,NRWeekend 5,On Beat,Unknown
Julo,Gerro,NRWeekend 5,Rap Battle,Unknown
Notyzze,Pablo,On-Beat Rapbattle München,On Beat,Unknown
Aytee,Phasenkind,On-Beat Rapbattle München,On Beat,Unknown
Falki,Davie Jones,On Beat Rapbattle München,On Beat,Unknown
Phasenkind,Ferry,Hidden Gems 2,Rap Battle,Unknown
Karanova,YAMANN,STREET BATTLES 2021,Rap Battle,2021
Khacoby,Peat,OnBeat Video Battle,On Beat,Unknown
Falki,Phasenkind,OnBeat Video Battle,On Beat,Unknown
Wandelbarz,YAAMANN,OnBeat Video Battle,On Beat,Unknown
DOC,Gerro (aka RenetixX),OnBeat Video Battle,On Beat,Unknown
Holu,Kairuzo,ExtraMatch,Rap Battle,2020
Kato,N'antinein,DLTLLY RapBattle (B.Day#7,Rap Battle,2020
DeeLah,Mars B.,DLTLLY RapBattle (B.Day#7,Rap Battle,2020
Joe Pharo,Hiding John,DLTLLY RapBattle (B.Day#7,Rap Battle,2020
Karma,Khacoby,DLTLLY RapBattle (B.Day#7,Rap Battle,2020
Joseph Steinschleuder,Indoor Stan,DLTLLY RapBattle (Panke,Rap Battle,2020
Brian Damage,Craze,DLTLLY RapBattle (Panke,Rap Battle,2020
