Name #1,Name #2,Event,Type,Date (Year)
Ssynic,Craze,Rap Battle @ B-Day #10,Rap Battle,DLTLLY
Yarambo,JollyJay,Rap Battle @ B-Day #10,Rap Battle,DLTLLY
Kato,Bong Teggy,Rap Battle @ B-Day #10,Rap Battle,DLTLLY
Karanova,Mc Geuner,Rap Battle @ B-Day #10,Rap Battle,DLTLLY
Mighty P,Karma,Rap Battle @ B-Day #10,Rap Battle,DLTLLY
Lyrico,Tobi High,On Beat Rap Battle @ splash! 25,On Beat,DLTLLY
Lyrico,Tobi High,On Beat Rap Battle @ splash! 25,On Beat,DLTLLY
Pablo,Mordrake,On Beat Rap Battle @ splash! 25,On Beat,DLTLLY
Cris Kotzen & Escape,Vyrus & Freezy,2on2 On Beat Rap Battle @ splash! 25,On Beat,DLTLLY
Cris Kotzen & Escape,Vyrus & Freezy,2on2 On Beat Rap Battle @ splash! 25,On Beat,DLTLLY
Kid Soldier,Krom,On Beat Rap Battle @ splash! 25,On Beat,DLTLLY
N'antinein,Bahamakarma,On Beat Rap Battle @ splash! 25,On Beat,DLTLLY
