Name #1,Name #2,Event,Type,Year,Channel,Uploaded,URL,ID,Views,Location,Stadt,Event 2
Aytee,Karanova,Interview Berlin &#39;25,Accapella,2025,DLTLLY,2025-03-16,https://www.youtube.com/watch?v=s501ewLwo1w,s501ewLwo1w,5028,,,
Aytee,Karanova,🏆 ON BEAT TITLE MATCH 2025 🏆,On Beat,2025,DLTLLY,2025-03-16,https://www.youtube.com/watch?v=SYo3zBQzwtQ,SYo3zBQzwtQ,30680,,,
KALP ONE,VALIK,RAP BATTLE,Accapella,2024,FOB,2025-03-14,https://www.youtube.com/watch?v=pJA2VSeUyrw,pJA2VSeUyrw,4283,,,
Kato,Tobi High,Title Match 2024 DISSember 8,Accapella,2024,DLTLLY,2025-03-09,https://www.youtube.com/watch?v=KYE2dCsI8oU,KYE2dCsI8oU,60720,,,
Kato,Tobi High,Interview zum Title Match Dissember 8,Accapella,2025,DLTLLY,2025-03-09,https://www.youtube.com/watch?v=Se4aQd0xzL4,Se4aQd0xzL4,18022,,,
LUCKYLILY,T-WAY,RAP BATTLE,Accapella,2025,FOB,2025-03-07,https://www.youtube.com/watch?v=jogDDg8UrT0,jogDDg8UrT0,6671,,,
Hiding John,Requiem,  DISSember 8,Accapella,2025,DLTLLY,2025-03-02,https://www.youtube.com/watch?v=sVftXy-84ME,sVftXy-84ME,39127,,,
TICC,FEEL.IKX,RAP BATTLE,Accapella,2025,FOB,2025-02-28,https://www.youtube.com/watch?v=AFaZPkRlbVQ,AFaZPkRlbVQ,3798,,,
Robscure,Karkobi,  Kassel,Accapella,2025,DLTLLY,2025-02-23,https://www.youtube.com/watch?v=cPiNUjyXRv4,cPiNUjyXRv4,41020,,,
ALADIN,KOOZY,RAP BATTLE,Accapella,2025,FOB,2025-02-21,https://www.youtube.com/watch?v=90w3P4aaCew,90w3P4aaCew,5013,,,
Requiem,Sizyphos,  Freiburg &#39;24,Accapella,2025,DLTLLY,2025-02-16,https://www.youtube.com/watch?v=nkkgsZG1RTI,nkkgsZG1RTI,33992,,,
Requiem,Sizyphos,Interview Freiburg,Accapella,2025,DLTLLY,2025-02-16,https://www.youtube.com/watch?v=J0tMmTZQYlo,J0tMmTZQYlo,4317,,,
MAZZIKANER & CASHUS K,LAZLO MXRPHINE & DOKTOR LUKAS FRANK,RAP BATTLE,Accapella,2025,FOB,2025-02-14,https://www.youtube.com/watch?v=3_KX2HILsCU,3_KX2HILsCU,5536,,,
Davie Jones,Craze,  Freiburg &#39;24,Accapella,2025,DLTLLY,2025-02-09,https://www.youtube.com/watch?v=cTXwSOqrZXY,cTXwSOqrZXY,54467,,,
Craze,Davie Jones,Interview Freiburg &#39;24,Accapella,2025,DLTLLY,2025-02-09,https://www.youtube.com/watch?v=7Viv4hq0jEo,7Viv4hq0jEo,6696,,,
NOTYZZE,YUAH,RAP BATTLE,Accapella,2025,FOB,2025-02-07,https://www.youtube.com/watch?v=BvO2sdUm1q4,BvO2sdUm1q4,22166,,,
Moody,Celune,  Freiburg &#39;24,Accapella,2025,DLTLLY,2025-02-06,https://www.youtube.com/watch?v=wytgWL8RCEA,wytgWL8RCEA,17673,,,
Moody,Celune,Interview Freiburg &#39;24,Accapella,2025,DLTLLY,2025-02-06,https://www.youtube.com/watch?v=e_BdozUEAf8,e_BdozUEAf8,3350,,,
Aytee,Karanova,Title Match - Provokation  Only Berlin,On Beat,2025,DLTLLY,2025-02-04,https://www.youtube.com/watch?v=Zp6mL0C23YM,Zp6mL0C23YM,9728,,,
Shortworth,Young Kennedy,Interview Freiburg &#39;24,Accapella,2025,DLTLLY,2025-02-02,https://www.youtube.com/watch?v=Jb7nLnvt9xk,Jb7nLnvt9xk,948,,,
Young Kennedy,Shortworth,  Freiburg &#39;24,Accapella,2025,DLTLLY,2025-02-02,https://www.youtube.com/watch?v=AtYLF4rn1R8,AtYLF4rn1R8,12951,,,
HEINZ87,LATIK,RAP BATTLE,Accapella,2025,FOB,2025-01-31,https://www.youtube.com/watch?v=NDHVCiqnl1c,NDHVCiqnl1c,4981,,,
Faivel,Riesenlauch,Interview Freiburg 24,Accapella,2025,DLTLLY,2025-01-26,https://www.youtube.com/watch?v=ECj6jzGhp2Q,ECj6jzGhp2Q,1271,,,
Faivel,Riesenlauch,  Freiburg 24,Accapella,2025,DLTLLY,2025-01-26,https://www.youtube.com/watch?v=5WnR6TDxAhg,5WnR6TDxAhg,13530,,,
NRG,FROZEN,RAP BATTLE,Accapella,2025,FOB,2025-01-24,https://www.youtube.com/watch?v=lr-V4CfntNI,lr-V4CfntNI,3909,,,
Bdad,Indoor Stan,Interview Freiburg,Accapella,2025,DLTLLY,2025-01-19,https://www.youtube.com/watch?v=kb2BDEOUYwA,kb2BDEOUYwA,3812,,,
Bdad,Indoor Stan,  Freiburg 24,Accapella,2025,DLTLLY,2025-01-19,https://www.youtube.com/watch?v=PEXAziy1EDo,PEXAziy1EDo,38552,,,
MOODY,ROOL,RAP BATTLE,Accapella,2025,FOB,2025-01-17,https://www.youtube.com/watch?v=14zNL0MQ9XQ,14zNL0MQ9XQ,5270,,,
Notyzze,Kiruma,Interview BORA Duisburg,Accapella,2025,DLTLLY,2025-01-12,https://www.youtube.com/watch?v=IIUieRMUmxo,IIUieRMUmxo,6215,,,
Kiruma,Notyzze,  BORA Duisburg,Accapella,2025,DLTLLY,2025-01-12,https://www.youtube.com/watch?v=KUwb8QdHF0w,KUwb8QdHF0w,30376,,,
