Name #1,Name #2,Event,Location,Stadt,Type,Year,Channel,Uploaded,URL,Views,ID,hidden,Processed
Zeuge,Moody,,,,Accapella,2025,DLTLLY,2025-05-11,https://www.youtube.com/watch?v=TXyS6b-GDFE,622,TXyS6b-GDFE,NRWeekend 8,
JÄL,SHAWN MORENO,,,,Accapella,2025,FOB,2025-05-09,https://www.youtube.com/watch?v=HotnxCt_Y98,4345,HotnxCt_Y98,RAP BATTLE,
Ano-Nym,Morgana,,,,On Beat,2025,DLTLLY,2025-05-04,https://www.youtube.com/watch?v=4GcjUISJthk,41446,4GcjUISJthk,   Only &#39;25,
Morgana,Ano-Nym,,,,On Beat,2025,DLTLLY,2025-05-04,https://www.youtube.com/watch?v=3Bc_tXH0MQM,4947,3Bc_tXH0MQM,Interview  Only &#39;25,
RIMA,TRACY,,,,Accapella,2025,FOB,2025-05-04,https://www.youtube.com/watch?v=BGPIQFIZTa8,6031,BGPIQFIZTa8,RAP BATTLE,
THUNDER HUSTLE,ENYO,,,,Accapella,2025,FOB,2025-05-02,https://www.youtube.com/watch?v=EFQVEjRMQBc,8181,EFQVEjRMQBc,RAP BATTLE,
Bdad,Kato,,,,Accapella,2025,DLTLLY,2025-05-02,https://www.youtube.com/watch?v=A4YmPpLy6SQ,7653,A4YmPpLy6SQ,Teaser Mayhem 8,
Cashus K,Mazzikaner,,,,Accapella,2025,DLTLLY,2025-05-01,https://www.youtube.com/watch?v=8-4oBnK0qvw,7256,8-4oBnK0qvw,One Rounder  Kassel,
MAURITS,DARIO,,,,Accapella,2025,FOB,2025-04-29,https://www.youtube.com/watch?v=yY5T08XY69M,2867,yY5T08XY69M,RAP BATTLE,
Lyrico,Kiruma,,,,Accapella,2025,DLTLLY,2025-04-28,https://www.youtube.com/watch?v=Mc2aXEyvTCU,7722,Mc2aXEyvTCU,Match-Teaser für MAYhem 8 - 03.05.25 - Berlin,
Emenes,Joseph Steinschleuder,,,,Accapella,2025,DLTLLY,2025-04-27,https://www.youtube.com/watch?v=dmih32mOqvI,47553,dmih32mOqvI,   Berlin,
MOKO,HARLEM T,,,,Accapella,2025,FOB,2025-04-27,https://www.youtube.com/watch?v=Z7zbdw0lQE0,3353,Z7zbdw0lQE0,RAP BATTLE,
FAIVEL,KRISO,,,,Accapella,2025,FOB,2025-04-25,https://www.youtube.com/watch?v=FfSCHXhfYMw,6730,FfSCHXhfYMw,RAP BATTLE,
Sizyphos,Wolff,,,,Accapella,2025,DLTLLY,2025-04-20,https://www.youtube.com/watch?v=LvFNAUPx3bo,61321,LvFNAUPx3bo,  Kassel,
Sizyphos,Wolff,,,,Accapella,2025,DLTLLY,2025-04-20,https://www.youtube.com/watch?v=XBXwa0j6NAY,9904,XBXwa0j6NAY,Interview Kassel,
BARETTA,LYT,,,,Accapella,2025,FOB,2025-04-20,https://www.youtube.com/watch?v=gDMtxVnkhjM,4642,gDMtxVnkhjM,RAP BATTLE,
LAVAS,FYNN,,,,Accapella,2025,FOB,2025-04-18,https://www.youtube.com/watch?v=VjmsWn79FUw,7091,VjmsWn79FUw,RAP BATTLE,
Ferry,Shizu,,,,Accapella,2025,DLTLLY,2025-04-13,https://www.youtube.com/watch?v=g2pFv1bIBXE,25642,g2pFv1bIBXE,  Kassel,
CELUNE,BDAD,,,,Accapella,2025,FOB,2025-04-11,https://www.youtube.com/watch?v=q7sXw-FC4YY,23072,q7sXw-FC4YY,RAP BATTLE,
Ryko J,Fate,,,,Accapella,2025,DLTLLY,2025-04-10,https://www.youtube.com/watch?v=lKGDAMNjHLE,24587,lKGDAMNjHLE,  DISSember 8,
Bdad,Kitana,,,,Accapella,2025,DLTLLY,2025-04-09,https://www.youtube.com/watch?v=__C8BljtrHc,10924,__C8BljtrHc,Teaser Wien 12.04.,
Yarambo,Meidi,,,,Accapella,2025,DLTLLY,2025-04-06,https://www.youtube.com/watch?v=kxIw0Z2ZA6k,11584,kxIw0Z2ZA6k,Interview DISSember8,
Yarambo,Meidi,,,,Accapella,2025,DLTLLY,2025-04-06,https://www.youtube.com/watch?v=UxQTqBKXUfI,95401,UxQTqBKXUfI,  DISSember 8,
HIDING JOHN,JIZI,,,,Accapella,2025,FOB,2025-04-04,https://www.youtube.com/watch?v=GFEPBGtw94I,55429,GFEPBGtw94I,RAP BATTLE,
Craze,Neilz,,,,Accapella,2025,DLTLLY,2025-03-30,https://www.youtube.com/watch?v=lVopiPk8pfE,22292,lVopiPk8pfE,Interview Dissember8,
Craze,Neilz,,,,Accapella,2025,DLTLLY,2025-03-30,https://www.youtube.com/watch?v=3p2GdJMQ6GA,85081,3p2GdJMQ6GA,  Dissember 8,
OREGANO,DAVIE JONES,,,,Accapella,2025,FOB,2025-03-28,https://www.youtube.com/watch?v=vJvkxeKeC3w,54319,vJvkxeKeC3w,RAP BATTLE,
DAVIE JONES,BEASTBOY,,,,Accapella,2025,DLTLLY,2025-03-23,https://www.youtube.com/watch?v=E2s4ZnUUzWo,238761,E2s4ZnUUzWo,Interview NRWeekend 8,
Davie Jones,BEASTBOY,,,,Accapella,2025,DLTLLY,2025-03-23,https://www.youtube.com/watch?v=2gujsLjMnU0,1482957,2gujsLjMnU0,  NRWeekend 8,
JOSEPH STEINSCHLEUDER,VYRUS,,,,Accapella,2025,FOB,2025-03-21,https://www.youtube.com/watch?v=VW9JWWYWTAc,36695,VW9JWWYWTAc,RAP BATTLE,
Aytee,Karanova,,,,Accapella,2025,DLTLLY,2025-03-16,https://www.youtube.com/watch?v=s501ewLwo1w,8473,s501ewLwo1w,Interview Berlin &#39;25,
Aytee,Karanova,,,,On Beat,2025,DLTLLY,2025-03-16,https://www.youtube.com/watch?v=SYo3zBQzwtQ,142384,SYo3zBQzwtQ,🏆 ON BEAT TITLE MATCH 2025 🏆,
KALP ONE,VALIK,,,,Accapella,2024,FOB,2025-03-14,https://www.youtube.com/watch?v=pJA2VSeUyrw,6610,pJA2VSeUyrw,RAP BATTLE,
