Name #1,Name #2,Event,Type,Year,Channel,Uploaded,Views
Sizyphos,Hiding John,  DISSember #7,Accapella,2024,DLTLLY,2024-03-03,34408
ZATO,ZEPTAH,ON BEAT BATTLE,On Beat,2024,FOB,2024-03-01,4320
Moody,Ikks,  Proving Grounds,Accapella,2024,DLTLLY,2024-03-01,5689
Belial,Kid Soldier,  DISSember #7,Accapella,2024,DLTLLY,2024-02-25,29505
FREEZY,DADDA,ON BEAT BATTLE,On Beat,2024,FOB,2024-02-23,7892
Moonshadow,Mattis,  Proving Grounds,Accapella,2024,DLTLLY,2024-02-23,8120
The Saurus,Quill,  DISSember #7,Accapella,2024,DLTLLY,2024-02-19,9305
The Saurus,Quill,  DISSember #7,Accapella,2024,DLTLLY,2024-02-18,8876
Sid,Nova,  Proving Grounds,Accapella,2024,DLTLLY,2024-02-16,6144
Joe Pharo,Fate,  DISSember #7,Accapella,2024,DLTLLY,2024-02-11,20074
Clockwork,Sachma,  Proving Grounds,Accapella,2024,DLTLLY,2024-02-09,7633
KOOZY,MAN IN BLACK,ON BEAT BATTLE,On Beat,2024,FOB,2024-02-09,7825
CapcoJones,Cristosaurus Rex,  Proving Grounds,Accapella,2024,DLTLLY,2024-02-04,8706
Kato,Neilz,🏆 TITLE MATCH 🏆,Accapella,2024,DLTLLY,2024-02-04,61226
Ricochet,Riesenlauch,  Proving Grounds Berlin,Accapella,2024,DLTLLY,2024-02-04,10006
VYRUS,STEEL,ON BEAT TITLEMATCH,On Beat,2024,FOB,2024-02-02,30192
Yarambo,Karma,  Hamburg,Accapella,2024,DLTLLY,2024-01-28,45295
FAITH MC,ROLLING G,ACAPELLA BATTLE,Accapella,2024,FOB,2024-01-27,5948
CapcoJones,Cristosaurus Rex,  Proving Grounds,Accapella,2024,DLTLLY,2024-01-26,8342
ROOL,DAVID ARDOR,NEWCOMER BATTLE,Accapella,2024,FOB,2024-01-21,2208
FRAX ONE & DJANGO,NATALI & ALADIN,ACAPELLA BATTLE,Accapella,2024,FOB,2024-01-19,5876
JOSEPH STEINSCHLEUDER & ROMIK WRONG,ZEPTAH & ORPHXN,ON BEAT BATTLE,On Beat,2024,FOB,2024-01-12,14687
Celune,Sizyphos,  Hamburg,Accapella,2024,DLTLLY,2024-01-11,30437
Heinz87 & Hiding John,Mazzikaner & Cashus K,  Hamburg,Accapella,2024,DLTLLY,2024-01-11,22198
Yarambo,Karma,  Hamburg,Accapella,2024,DLTLLY,2024-01-11,48596
Faivel,Bilal,  Hamburg,Accapella,2024,DLTLLY,2024-01-07,12866
Holu,Moody,Battle,Accapella,2023,Unknown,2024-01-06,5574
Shizu,Morgana,  Hamburg,On Beat,2024,DLTLLY,2024-01-05,15526
BURST & T-WAY,LEANDERS & DESPO,ACAPELLA BATTLE,Accapella,2024,FOB,2024-01-05,8813
Neilz,Kiruma,  Dortmund,Accapella,2023,DLTLLY,2023-12-31,56420
KRISO,ILYA FLOYD,NEWCOMER BATTLE,Accapella,2023,FOB,2023-12-31,3348
Liuz,Herr Kuchen,  Dortmund,Accapella,2023,DLTLLY,2023-12-30,43341
Onkel Oktomusch,Jindo109,  Dortmund,Accapella,2023,DLTLLY,2023-12-30,74740
Neilz,Kiruma,  Dortmund,Accapella,2023,DLTLLY,2023-12-30,56081
Bilal,Joseph Steinschleuder,Battle,Accapella,2023,Unknown,2023-12-30,14609
Mc Geuner,T-Way,  Dortmund,Accapella,2023,DLTLLY,2023-12-30,17987
Karkobi,Requiem,  Wien,Accapella,2023,DLTLLY,2023-12-30,31563
Barbee & Flow,Fate & Joseph Steinschleuder,2on2  Wien,Accapella,2023,DLTLLY,2023-12-30,20721
Flashus Christus,K9NE,  Wien,Accapella,2023,DLTLLY,2023-12-30,6903
Notyzze,BanDan,  Wien,On Beat,2023,DLTLLY,2023-12-30,16200
LUCKYLILY & BAYZE,CRAZE & MOITZ,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-28,30716
MORGANA,ZEPTAH,ON BEAT BATTLE,On Beat,2023,FOB,2023-12-26,6754
Kane,David Ardor,Battle,Accapella,2023,Unknown,2023-12-23,3152
CLOCKWORK,CSN GALACTICO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-21,4967
KIRUMA,HIDING JOHN,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-17,49703
SNAKEHEADRHYME,A-RON,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-17,9132
KARKOBI,MOODY,ACAPELLA BATTLE,Accapella,2024,FOB,2023-12-17,13769
Mc Geuner,T-Way,  Dortmund,Accapella,2023,DLTLLY,2023-12-17,18010
Liuz,Herr Kuchen,  Dortmund,Accapella,2023,DLTLLY,2023-12-10,43931
SHAOLUM,EZRA,ONE-ROUNDER,Accapella,2023,FOB,2023-12-10,3651
KahVauWeh,Jilly,Battle,Accapella,2023,Unknown,2023-12-09,4333
KvW,Jilly,Battle,Accapella,2023,Unknown,2023-12-09,4246
FREEKNO,MORGANA,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-08,6036
VYRUS,KARANOVA,ON BEAT BATTLE,On Beat,2023,FOB,2023-12-01,29820
Schalle,Shortworth,  Wien,Accapella,2023,DLTLLY,2023-11-30,11894
MOODY,TECEY,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-26,3461
JOE PHARO,LITTLE SEDO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-24,9314
Schalle,Shortworth,  Wien,Accapella,2023,DLTLLY,2023-11-24,11849
Duff,Joe Pharo,  Dortmund,Accapella,2023,DLTLLY,2023-11-22,23676
NASTIC,STEEL,ON BEAT BATTLE,On Beat,2023,FOB,2023-11-19,56967
JEPAIN,CELUNE,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-16,7838
Grandmaster Flow,Kalp One,  Wien,Accapella,2023,DLTLLY,2023-11-16,7682
Belial,Julo,  Dortmund,Accapella,2023,DLTLLY,2023-11-16,26850
Wenzel Washington,Davis,  Wien,Accapella,2023,DLTLLY,2023-11-16,11256
BAYZE,M.F.L.,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-12,6795
LUCKYLILY,IKKS,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-10,9529
KOOZY,ZEPTAH,ON BEAT BATTLE,On Beat,2023,FOB,2023-11-10,8639
Cris Kotzen & Escape,Vyrus & Freezy,2on2   splash! 25,On Beat,2023,DLTLLY,2023-11-07,35681
Bong Teggy,Davie Jones, Splash! Festival,On Beat,2023,DLTLLY,2023-11-07,135599
Aytee,Phasenkind,München,On Beat,2023,DLTLLY,2023-11-07,143783
Joseph Steinschleuder,Steel,Düsseldorf,On Beat,2023,DLTLLY,2023-11-07,37183
Mavgic,Notyzze, Splash! Festival,On Beat,2023,DLTLLY,2023-11-07,63480
Shizu,Mave,  splash! 25,Accapella,2023,DLTLLY,2023-11-07,18047
Aytee,Galv,Berlin 9th Birthday,On Beat,2023,DLTLLY,2023-11-07,41320
Phasenkind,Vyrus,Battle,On Beat,2023,DLTLLY,2023-11-07,57147
Karanova,BanDan,DISSember 6,On Beat,2023,DLTLLY,2023-11-07,21278
Tokz,Tisos,Match,On Beat,2023,DLTLLY,2023-11-07,11410
Kid Soldier,Krom,  splash! 25,On Beat,2023,DLTLLY,2023-11-07,21117
Falki,Davie Jones,München,On Beat,2023,DLTLLY,2023-11-07,54712
Krom,Craze, Splash! Festival,On Beat,2023,DLTLLY,2023-11-07,36714
Lyrico,Tobi High,  splash! 25,On Beat,2023,DLTLLY,2023-11-07,38527
Pablo,Mordrake,  splash! 25,On Beat,2023,DLTLLY,2023-11-07,12836
N'antinein,Bahamakarma,  splash! 25,On Beat,2023,DLTLLY,2023-11-07,17674
Notyzze,Pablo,München,On Beat,2023,DLTLLY,2023-11-07,27674
Dizzepticon,Koozy,NRWeekend 5,On Beat,2023,DLTLLY,2023-11-07,19962
Ssynic,Craze,  B-Day #10,Accapella,2023,DLTLLY,2023-11-06,117684
Ssynic,Craze,  B-Day #10,Accapella,2023,DLTLLY,2023-11-05,118704
SUZIE SUH,MALIK,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-05,5361
Yarambo,JollyJay,  B-Day #10,Accapella,2023,DLTLLY,2023-10-29,76362
SIC68,LEOQUENT,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-29,2433
TEACH,SHORTWORTH,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-27,5222
Kato,Bong Teggy,  B-Day #10,Accapella,2023,DLTLLY,2023-10-25,63444
M.F.L.,CLOCKWORK,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-21,3120
DEELAH,DADDA,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-20,11431
Karanova,Mc Geuner,  B-Day #10,Accapella,2023,DLTLLY,2023-10-15,33241
Jeystone,Karanova,Battle,Accapella,2023,Unknown,2023-10-14,14521
DIAMOND,NATALI,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-13,12223
Mighty P,Karma,  B-Day #10,Accapella,2023,DLTLLY,2023-10-08,23414
Flashus Christus,Béla Garbage,Battle,Accapella,2023,Unknown,2023-10-07,5416
ShadyX,David Ardor,Battle,Accapella,2023,Unknown,2023-09-30,3833
FAIVEL,MAZZIKANER,ACAPELLA BATTLE,Accapella,2023,FOB,2023-09-24,4030
DEZ,MC Rabiat,Battle,Accapella,2023,Unknown,2023-09-23,5285
JOSEPH STEINSCHLEUDER,ALADIN,ON BEAT BATTLE,On Beat,2023,FOB,2023-09-21,23793
Mc Geuner,Snakeheadrhyme,  München,Accapella,2023,DLTLLY,2023-09-15,29584
Wolff,Requiem,  München,Accapella,2023,DLTLLY,2023-09-15,37842
Tobi High,Yarambo,  München,Accapella,2023,DLTLLY,2023-08-28,106711
T-Way,Julo,  München,Accapella,2023,DLTLLY,2023-08-21,21293
ROLLING G,ATROPATRAP,ACAPELLA BATTLE,Accapella,2023,FOB,2023-08-10,17618
FAIVEL,TRIPLE,MIXED MARTIAL BARS,Accapella,2023,FOB,2023-08-10,4661
REQUIEM,ALADIN,ON BEAT BATTLE,On Beat,2023,FOB,2023-08-10,5353
NOTYZZE,PATO G (FINALE),FREESTYLE BATTLE,Accapella,2023,FOB,2023-08-10,8848
DAVIE JONES,KIRUMA,ACAPELLA BATTLE,Accapella,2023,FOB,2023-08-10,44335
TEACH,DJANGO (BATTLE UM PLATZ 3),FREESTYLE BATTLE,Accapella,2023,FOB,2023-08-10,2572
DER SERGEANT,MUSIO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-08-10,4216
NASTIC (FINNASTIC),CRIPSTA,ON BEAT BATTLE,On Beat,2023,FOB,2023-08-10,5609
VYRUS,KOOZY,ON BEAT BATTLE,On Beat,2023,FOB,2023-08-10,12323
Joseph Steinschleuder,Shizu,  München,Accapella,2023,DLTLLY,2023-08-01,31475
