Name #1,Name #2,Event,Type,Year,Channel,Uploaded,Views
The Saurus,Quill,  DISSember #7,Accapella,2024,DLTLLY,2024-02-18,8371
Sid,Nova,  Proving Grounds,Accapella,2024,DLTLLY,2024-02-16,5887
Joe Pharo,Fate,  DISSember #7,Accapella,2024,DLTLLY,2024-02-11,20074
Clockwork,Sachma,  Proving Grounds,Accapella,2024,DLTLLY,2024-02-09,6897
KOOZY,MAN IN BLACK,ON BEAT BATTLE,On Beat,2024,FOB,2024-02-09,7396
Kato,Neilz,🏆 TITLE MATCH 🏆,Accapella,2024,DLTLLY,2024-02-04,56844
VYRUS,STEEL,ON BEAT TITLEMATCH,On Beat,2024,FOB,2024-02-02,27171
Yarambo,Karma,  Hamburg,Accapella,2024,DLTLLY,2024-01-28,45295
FAITH MC,ROLLING G,ACAPELLA BATTLE,Accapella,2024,FOB,2024-01-27,5835
CapcoJones,Cristosaurus Rex,  Proving Grounds,Accapella,2024,DLTLLY,2024-01-26,8342
ROOL,DAVID ARDOR,NEWCOMER BATTLE,Accapella,2024,FOB,2024-01-21,2157
FRAX ONE & DJANGO,NATALI & ALADIN,ACAPELLA BATTLE,Accapella,2024,FOB,2024-01-19,5751
JOSEPH STEINSCHLEUDER & ROMIK WRONG,ZEPTAH & ORPHXN,ON BEAT BATTLE,On Beat,2024,FOB,2024-01-12,13857
Holu,Moody,Battle,Accapella,2023,Unknown,2024-01-06,5448
BURST & T-WAY,LEANDERS & DESPO,ACAPELLA BATTLE,Accapella,2024,FOB,2024-01-05,8769
KRISO,ILYA FLOYD,NEWCOMER BATTLE,Accapella,2023,FOB,2023-12-31,3331
Bilal,Joseph Steinschleuder,Battle,Accapella,2023,Unknown,2023-12-30,14290
LUCKYLILY & BAYZE,CRAZE & MOITZ,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-28,30008
MORGANA,ZEPTAH,ON BEAT BATTLE,On Beat,2023,FOB,2023-12-26,6566
Kane,David Ardor,Battle,Accapella,2023,Unknown,2023-12-23,3113
CLOCKWORK,CSN GALACTICO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-21,4893
KARKOBI,MOODY,ACAPELLA BATTLE,Accapella,2024,FOB,2023-12-17,13394
SNAKEHEADRHYME,A-RON,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-17,9066
KIRUMA,HIDING JOHN,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-17,48726
SHAOLUM,EZRA,ONE-ROUNDER,Accapella,2023,FOB,2023-12-10,3599
KvW,Jilly,Battle,Accapella,2023,Unknown,2023-12-09,4246
KahVauWeh,Jilly,Battle,Accapella,2023,Unknown,2023-12-09,4265
FREEKNO,MORGANA,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-08,6002
VYRUS,KARANOVA,ON BEAT BATTLE,On Beat,2023,FOB,2023-12-01,29171
MOODY,TECEY,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-26,3438
JOE PHARO,LITTLE SEDO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-24,9258
NASTIC,STEEL,ON BEAT BATTLE,On Beat,2023,FOB,2023-11-19,53019
JEPAIN,CELUNE,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-16,7707
BAYZE,M.F.L.,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-12,6642
LUCKYLILY,IKKS,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-10,9343
KOOZY,ZEPTAH,ON BEAT BATTLE,On Beat,2023,FOB,2023-11-10,8506
SUZIE SUH,MALIK,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-05,5322
SIC68,LEOQUENT,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-29,2429
TEACH,SHORTWORTH,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-27,5206
M.F.L.,CLOCKWORK,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-21,3113
DEELAH,DADDA,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-20,11287
Jeystone,Karanova,Battle,Accapella,2023,Unknown,2023-10-14,14383
DIAMOND,NATALI,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-13,12066
Flashus Christus,Béla Garbage,Battle,Accapella,2023,Unknown,2023-10-07,5402
ShadyX,David Ardor,Battle,Accapella,2023,Unknown,2023-09-30,3818
